2025-01-07 23:35:36 [http-nio-8080-exec-7] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:38:53 [http-nio-8080-exec-6] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:40:11 [http-nio-8080-exec-7] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:40:43 [http-nio-8080-exec-10] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:41:23 [http-nio-8080-exec-8] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:41:45 [http-nio-8080-exec-4] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:43:40 [http-nio-8080-exec-6] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:44:08 [http-nio-8080-exec-9] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:44:48 [http-nio-8080-exec-5] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:45:57 [http-nio-8080-exec-10] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:46:21 [http-nio-8080-exec-2] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:48:13 [http-nio-8080-exec-9] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:48:20 [http-nio-8080-exec-5] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:48:25 [http-nio-8080-exec-3] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:48:31 [http-nio-8080-exec-7] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:53:05 [http-nio-8080-exec-4] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:53:27 [http-nio-8080-exec-2] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:53:31 [http-nio-8080-exec-1] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:54:08 [http-nio-8080-exec-6] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:55:18 [http-nio-8080-exec-3] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:55:39 [http-nio-8080-exec-7] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
